Id	Name	Name	Title	ResPath	AnimPath	HeadPic	NPCSpriteName	HeadInfoHeight	Scale	DeadSound01	DeadSound02	DeadSound03	ModelType
187	藏经阁BOSS	护塔镇守		Npc_001_youtanzhi_001	Animation/NPC/Man/MatureMan/No_Weapon	head-role	Loli	2.7	1.5	14	15	16	1
188	藏经阁BOSS	护塔镇守		Npc_001_zuozimu_001_boss	Animation/NPC/Man/MatureMan/One_Sword	head-role	ZuoZiMu	2.7	1.5	14	15	16	1
189	藏经阁BOSS	护塔镇守		Npc_001_nanhaieshen_001_boss	Animation/NPC/Man/Fat/One_Sword	head-role		2.7	1.5	14	15	16	2
190	藏经阁BOSS	护塔镇守		Npc_001_fengboe_001	Animation/NPC/Man/Strong/One_Sword	head-role		2.7	1.5	14	15	16	1
191	藏经阁BOSS	护塔镇守		Npc_001_simalin_002	Animation/NPC/Man/MatureMan/One_Sword	head-role		2.7	1.5	14	15	16	1
192	藏经阁BOSS	护塔镇守		Npc_001_yunzhonghe_001	Animation/NPC/Man/MatureMan/One_Sword	head-role		2.7	1.5	14	15	16	1
193	藏经阁BOSS	护塔镇守		Npc_001_duanyanqing_001_boss	Animation/NPC/Man/Special	head-role		2.9	1.5	14	15	16	4
194	藏经阁BOSS	护塔镇守		Npc_001_saodiseng_001	Animation/Npc/Man/MatureMan/Magic	head-role		2.7	1.5	14	15	16	1
195	藏经阁BOSS	护塔镇守		Npc_001_youshishuangxiong_001	Animation/NPC/Man/Strong/No_Weapon	head-role		2.7	1.5	14	15	16	1
196	藏经阁BOSS	护塔镇守		Npc_001_youshishuangxiong_002	Animation/NPC/Man/Strong/No_Weapon	head-role		2.7	1.5	14	15	16	1
197	虚竹	虚竹		Npc_001_xuzhu_001	Animation/NPC/Man/MatureMan/No_Weapon	head-npc	XuZhu	2	1	14	15	16	1
198	珍珑棋局副本	白棋子		fb_banghui_qizi02		head-animal		1	2	25	26	27	-1
199	珍珑棋局副本	黑棋子		fb_banghui_qizi03		head-animal		1	2	25	26	27	-1
200	珍珑棋局副本	黄金棋子		fb_banghui_qizi01		head-animal		1	2	25	26	27	-1
201	段延庆	段延庆		Npc_001_duanyanqing_001_boss	Animation/NPC/Man/Special	head-role		2.5	1.3	14	15	16	4
202	帮会日常活动	一级聚宝盆		fb_banghui_jubaopen01		head-animal		2	2	-1	-1	-1	-1
203	帮会日常活动	二级聚宝盆		fb_banghui_jubaopen02		head-animal		2	2	-1	-1	-1	-1
204	帮会日常活动	三级聚宝盆		fb_banghui_jubaopen03		head-animal		2	2	-1	-1	-1	-1
205	帮会日常活动	四级聚宝盆		fb_banghui_jubaopen04		head-animal		2	2	-1	-1	-1	-1
206	帮会日常活动	五级聚宝盆		fb_banghui_jubaopen05		head-animal		2	2	-1	-1	-1	-1
207	狼	狼	伙伴	Monster_001_zonglang_002	Animation/NPC/Animal/Tiger	head-animal	DuanYu	1	0.5	20	20	20	3
208	进化狼	进化狼	伙伴	Monster_002_zonglang_001	Animation/NPC/Animal/Tiger	head-animal	DuanYu	1	0.6	20	20	20	3
209	豹	豹	伙伴	Npc_001_baozi_002	Animation/NPC/Animal/Tiger	head-animal	DuanYu	1	0.5	20	20	20	3
210	进化豹	进化豹	伙伴	Npc_001_baozi_003	Animation/NPC/Animal/Tiger	head-animal	DuanYu	1	0.6	20	20	20	3
211	虎	虎	伙伴	Npc_001_hu_001	Animation/NPC/Animal/Tiger	head-animal	DuanYu	1	0.5	20	20	20	3
212	进化虎	进化虎	伙伴	Npc_001_hu_002	Animation/NPC/Animal/Tiger	head-animal	DuanYu	1	0.6	20	20	20	3
213	狮	狮	伙伴	Npc_001_shizi_002	Animation/NPC/Animal/Tiger	head-animal	DuanYu	1	0.5	20	20	20	3
214	进化狮	进化狮	伙伴	Npc_001_shizi_001	Animation/NPC/Animal/Tiger	head-animal	DuanYu	1	0.6	20	20	20	3
215	熊	熊	伙伴	Npc_001_xiong_001	Animation/NPC/Animal/Bear	head-animal	DuanYu	1	0.8	20	20	20	3
216	钟灵	钟灵	伙伴	Npc_001_zhongling_001	Animation/NPC/Women/Loli/One_Sword	head-role	DuanYu	1.5	1	12	13	13	1
217	甘宝宝	甘宝宝	伙伴	Npc_001_ganbaobao_001	Animation/NPC/Women/MatureFemale/Magic	head-role	DuanYu	2	1	12	13	13	1
218	马夫人	马夫人	伙伴	Npc_001_kangmin_001	Animation/NPC/Women/MatureFemale/Magic	head-role	DuanYu	2	1	12	13	13	1
219	木婉清	木婉清	伙伴	Npc_001_muwanqing_001	Animation/NPC/Women/MatureFemale/One_Sword	head-role	DuanYu	2	1	12	13	13	1
220	刀白凤	刀客	伙伴	Npc_001_daobaifeng_001	Animation/NPC/Women/MatureFemale/Magic	head-role	DuanYu	2	1	12	13	13	1
221	阿朱	阿朱	伙伴	Npc_001_azhu_001	Animation/NPC/Women/MatureFemale/One_Sword	head-role	DuanYu	2	1	12	13	13	1
222	王语嫣	王语嫣	伙伴	Npc_001_wangyuyan_001	Animation/NPC/Women/MatureFemale/Magic	head-role	DuanYu	2	1	12	13	13	1
223	猛虎	猛虎		Npc_001_hu_001	Animation/NPC/Animal/Tiger	head-animal		2	0.8	20	20	20	3
224		少林20级上衣	主角	Zy_shaolin_001_slt	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
225		天山20级上衣	主角	Zy_tianshan_001_fqt	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
226		大理20级上衣	主角	Zy_dali_001_xjt	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
227		逍遥20级上衣	主角	Zy_xiaoyao_001_llt	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
228		少林30+级上衣	主角	Zy_shaolin_001_yjt	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
229		天山30+级上衣	主角	Zy_tianshan_001_xyt	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
230		大理30+级上衣	主角	Zy_dali_001_ljt	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
231		逍遥30+级上衣	主角	Zy_xiaoyao_001_lyt	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
232		少林40+级上衣	主角	Zy_shaolin_001_brt	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
233		天山40+级上衣	主角	Zy_tianshan_001_jyt	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
234		大理40+级上衣	主角	Zy_dali_001_xdt	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
235		逍遥40+级上衣	主角	Zy_xiaoyao_001_slt	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
236		少林50+级上衣	主角	Zy_shaolin_001_xjt	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
237		天山50+级上衣	主角	Zy_tianshan_001_ymt	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
238		大理50+级上衣	主角	Zy_dali_001_jwt	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
239		逍遥50+级上衣	主角	Zy_xiaoyao_001_qhlt	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
240	鸠摩智		NPC	Npc_001_jiumozhi_001	Animation/NPC/Man/MatureMan/No_Weapon	head-role	jiumozhi	2	1.2	14	15	16	1
241	卢煮	卢煮		Npc_000_laifu_001	Animation/Npc/Man/MatureMan/One_LongWeapon	head-npc	LaiFu	2	1	14	15	16	1
242	苏州	少林弟子	主角	Zy_shaolin_001_bht	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
243	苏州	天山弟子	主角	Zy_tianshan_001_fqt	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
244	苏州	大理弟子	主角	Zy_dali_001_hlt	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
245	苏州	逍遥弟子	主角	Zy_xiaoyao_001_czt	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
246	与1保持一致	少林10级上衣	主角	Zy_shaolin_001_lht	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
247	与1保持一致	天山10级上衣	主角	Zy_tianshan_001_tyt	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
248	与1保持一致	大理10级上衣	主角	Zy_dali_001_hlt	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
249	与1保持一致	逍遥10级上衣	主角	Zy_xiaoyao_001_czt	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
250	世界BOSS	天山童姥		Npc_001_tianshantonglao_001_boss	Animation/NPC/Women/Loli/No_Weapon	head-role	zhongling	4	2.7	12	13	13	1
251	枯荣大师	枯荣大师		Npc_001_kurongdashi_001	Animation/NPC/Man/Strong/TwoHand_LongWeapon	head-npc	kurongdashi	2.3	1	14	15	16	1
252	左子穆		友好NPC	Npc_001_zuozimu_001	Animation/NPC/Man/MatureMan/One_Sword	head-npc	ZuoZiMu	2.2	1.2	14	15	16	1
253	司空玄		友好NPC	Npc_001_sikongxuan_001	Animation/Npc/Man/MatureMan/Magic	head-npc	SiKongXuan	2	1	14	15	16	1
254	店小二	店小二	友好NPC	Npc_000_laifu_001	Animation/Npc/Man/MatureMan/One_LongWeapon	head-npc	LaiFu	2	1	14	15	16	1
255	南海鳄神	岳老三	友好NPC	Npc_001_nanhaieshen_001	Animation/NPC/Man/Fat/One_Sword	head-npc	heiyiren	2.5	1.2	14	15	16	2
256	刀白凤	刀白凤	友好NPC	Npc_001_daobaifeng_001	Animation/NPC/Women/MatureFemale/Magic	head-npc	abi	2	1	12	13	13	1
257	本因	本因	友好NPC	Npc_001_laoheshang_001	Animation/NPC/Man/Midget/Magic	head-npc	benyin	1.5	0.9	14	15	16	2
258	鸠摩智		友好NPC	Npc_001_jiumozhi_001	Animation/NPC/Man/MatureMan/No_Weapon	head-npc	jiumozhi	2	1.2	14	15	16	1
259	穷奇	穷奇	伙伴	Npc_001_qiongqi_001	Animation/NPC/Animal/Tiger	head-animal	DuanYu	1	0.6	20	20	20	3
260	燕子坞副本	包不同-物理免疫	副本怪	Npc_001_baobutong_002	Animation/NPC/Man/Fat/No_Weapon	head-role	Loli	2.5	1.3	14	15	16	2
261	燕子坞副本	包不同-魔法免疫	副本怪	Npc_001_baobutong_003	Animation/NPC/Man/Fat/No_Weapon	head-role	Loli	2.5	1.3	14	15	16	2
262		少林60+级上衣	主角	Zy_shaolin_001_bht	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
263		天山60+级上衣	主角	Zy_tianshan_001_yxt	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
264		大理60+级上衣	主角	Zy_dali_001_szt	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
265		逍遥60+级上衣	主角	Zy_xiaoyao_001_qyt	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
266		少林70+级上衣	主角	Zy_shaolin_001_fht	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
267		天山70+级上衣	主角	Zy_tianshan_001_hyt	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
268		大理70+级上衣	主角	Zy_dali_001_jlt	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
269		逍遥70+级上衣	主角	Zy_xiaoyao_001_hyt	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
270		少林80级上衣	主角	Zy_shaolin_001_fjt	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
271		天山80级上衣	主角	Zy_tianshan_001_fyt	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
272		大理80级上衣	主角	Zy_dali_001_plt	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
273		逍遥80级上衣	主角	Zy_xiaoyao_001_mxt	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
274		橙少林30+上衣	主角	Zy_shaolin_002_yjt	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
275		橙天山30+上衣	主角	Zy_tianshan_002_xyt	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
276		橙大理30+上衣	主角	Zy_dali_002_ljt	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
277		橙逍遥30+上衣	主角	Zy_xiaoyao_002_lyt	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
278		橙少林40+上衣	主角	Zy_shaolin_002_brt	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
279		橙天山40+上衣	主角	Zy_tianshan_002_jyt	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
280		橙大理40+上衣	主角	Zy_dali_002_xdt	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
281		橙逍遥40+上衣	主角	Zy_xiaoyao_002_slt	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
282		橙少林50+上衣	主角	Zy_shaolin_002_xjt	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
283		橙天山50+上衣	主角	Zy_tianshan_002_ymt	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
284		橙大理50+上衣	主角	Zy_dali_002_jwt	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
285		橙逍遥50+上衣	主角	Zy_xiaoyao_002_qhlt	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
286		橙少林60+上衣	主角	Zy_shaolin_002_bht	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
287		橙天山60+上衣	主角	Zy_tianshan_002_yxt	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
288		橙大理60+上衣	主角	Zy_dali_002_szt	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
289		橙逍遥60+上衣	主角	Zy_xiaoyao_002_qyt	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
290	珍珑棋局副本	远古棋魂	副本怪	Npc_001_yuanguqihun_001_boss	Animation/NPC/Man/MatureMan/Magic	head-npc	zhongwanchou	2.9	1.4	14	15	16	1
291	少室山副本	慕容博	副本怪	Npc_001_murongbo_001	Animation/NPC/Man/MatureMan/One_Sword	head-role	heiyiren	2.5	1.5	14	15	16	1
292	少室山副本	萧远山	副本怪	Npc_001_xiaoyuanshan_001	Animation/NPC/Man/Strong/No_Weapon	head-role	heiyiren	2.5	1.5	14	15	16	1
293	少室山副本	游坦之	副本怪	Npc_001_youtanzhi_001	Animation/NPC/Man/MatureMan/No_Weapon	head-role	heiyiren	2.5	1.5	14	15	16	1
294	少室山副本	鸠摩智	副本怪	Npc_001_jiumozhi_001_boss	Animation/NPC/Man/MatureMan/No_Weapon	head-role	jiumozhi	2.5	1.5	14	15	16	1
295	少室山副本	丁春秋	副本怪	Npc_001_dingchunqiu_001	Animation/NPC/Man/MatureMan/One_Sword	head-role	heiyiren	2.5	1.5	14	15	16	1
296	苏星河	苏星河	副本怪	Npc_001_xiaoyaozi_001_boss	Animation/NPC/Man/MatureMan/Magic	head-role	heiyiren	2.5	1.3	14	15	16	1
297		结婚-媒婆	友好NPC	Npc_001_kangmin_002	Animation/NPC/Women/MatureFemale/Magic	head-npc	mafuren	2	1	12	13	13	1
298		大理元宝时装1	主角	Sz_dali_001_tst	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
299		大理元宝时装2	主角	Sz_dali_001_zshf	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
300		少林元宝时装1	主角	Sz_shaolin_001_tst	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
301		少林元宝时装2	主角	Sz_shaolin_001_zshf	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
302		天山元宝时装1	主角	Sz_tianshan_001_tst	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
303		天山元宝时装2	主角	Sz_tianshan_001_zshf	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
304		逍遥元宝时装1	主角	Sz_xiaoyao_001_tst	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
305		逍遥元宝时装2	主角	Sz_xiaoyao_001_zshf	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
306		平婆婆-战斗	战斗NPC	Npc_001_pingpopo_001	Animation/NPC/Women/Midget/One_LongWeapon	head-role	pingpopo	1.7	1	12	13	13	2
307	穷奇-战斗	穷奇-战斗	战斗NPC	Npc_001_qiongqi_001	Animation/NPC/Animal/Tiger	head-animal	DuanYu	1	0.6	20	20	20	3
308		橙少林70+上衣	主角	Zy_shaolin_002_fht	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
309		橙天山70+上衣	主角	Zy_tianshan_002_hyt	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
310		橙大理70+上衣	主角	Zy_dali_002_jlt	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
311		橙逍遥70+上衣	主角	Zy_xiaoyao_002_hyt	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
312		橙少林80+上衣	主角	Zy_shaolin_002_fjt	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
313		橙天山80+上衣	主角	Zy_tianshan_002_fyt	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
314		橙大理80+上衣	主角	Zy_dali_002_plt	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
315		橙逍遥80+上衣	主角	Zy_xiaoyao_002_mxt	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
316	天山童姥	天山童姥	伙伴	Npc_001_tianshantonglao_001	Animation/NPC/Women/Loli/No_Weapon	head-role	DuanYu	1.5	1	12	13	13	1
317	秦红棉	秦红棉	伙伴	Npc_001_qinhongmian_001	Animation/NPC/Women/MatureFemale/Magic	head-role	DuanYu	2	1	12	13	13	1
318	阮星竹	阮星竹	伙伴	Npc_001_ruanxingzhu_001	Animation/NPC/Women/MatureFemale/Magic	head-role	DuanYu	2	1	12	13	13	1
319	阿碧	阿碧	伙伴	Npc_001_azhu_002	Animation/NPC/Women/MatureFemale/One_Sword	head-role	DuanYu	2	1	12	13	13	1
320	阿紫	阿紫	伙伴	Npc_001_azi_001	Animation/NPC/Women/MatureFemale/One_Sword	head-role	DuanYu	2	1	12	13	13	1
321	李秋水	李秋水	伙伴	Npc_001_liqiushui_001	Animation/NPC/Women/MatureFemale/One_Sword	head-role	DuanYu	2	1	12	13	13	1
322	李青萝	李青萝	伙伴	Npc_001_liqingluo_001	Animation/NPC/Women/MatureFemale/Magic	head-role	DuanYu	2	1	12	13	13	1
323	西夏公主	西夏公主	伙伴	Npc_001_menggu_001	Animation/NPC/Women/MatureFemale/One_Sword	head-role	DuanYu	1.8	1	12	13	13	1
324	结婚礼服	结婚礼服：少林	主角	Sz_shaolin_001_jht	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
325	结婚礼服	结婚礼服：天山	主角	Sz_tianshan_001_jht	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
326	结婚礼服	结婚礼服：大理	主角	Sz_dali_001_jht	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
327	结婚礼服	结婚礼服：逍遥	主角	Sz_xiaoyao_001_jht	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
328	雁门关BOSS	慕容博		Npc_001_murongbo_001	Animation/NPC/Man/MatureMan/One_Sword	head-role	heiyiren	2.5	1.3	14	15	16	1
329	琅嬛福地-小怪	伏地武士		Npc_001_youshishuangxiong_002	Animation/NPC/Man/Strong/No_Weapon	head-role	heiyiren	2	1	14	15	16	1
330		少林90级上衣	主角	Zy_shaolin_001_90t	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
331		天山90级上衣	主角	Zy_tianshan_001_90t	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
332		大理90级上衣	主角	Zy_dali_001_90t	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
333		逍遥90级上衣	主角	Zy_xiaoyao_001_90t	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
334		少林100级上衣	主角	Zy_shaolin_001_90t	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
335		天山100级上衣	主角	Zy_tianshan_001_90t	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
336		大理100级上衣	主角	Zy_dali_001_90t	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
337		逍遥100级上衣	主角	Zy_xiaoyao_001_90t	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
338		橙少林90+上衣	主角	Zy_shaolin_002_90t	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
339		橙天山90+上衣	主角	Zy_tianshan_002_90t	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
340		橙大理90+上衣	主角	Zy_dali_002_90t	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
341		橙逍遥90+上衣	主角	Zy_xiaoyao_002_90t	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
342		橙少林100+上衣	主角	Zy_shaolin_002_90t	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
343		橙天山100+上衣	主角	Zy_tianshan_002_90t	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
344		橙大理100+上衣	主角	Zy_dali_002_90t	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
345		橙逍遥100+上衣	主角	Zy_xiaoyao_002_90t	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
346	结婚骑乘	结婚骑乘	友好NPC	Qicheng_001_jiehunmache_001	Animation/Ride/Animation/Marryhorse	head-npc	DuanYu	1	1	20	20	20	3
347	结婚车队	结婚车队	友好NPC	Npc_002_laifu_001	Animation/NPC/Man/MatureMan/One_LongWeapon/Npc_002_laifu_001	head-npc	LaiFu	2	1	14	15	16	1
348	空白点	空白点		SnareObj			-1	1.5	1	-1	-1	-1	-1
349		少林_熊猫时装	主角	Sz_shaolin_001_xmtt	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
350		天山_熊猫时装	主角	Sz_tianshan_001_xmt	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
351		大理_熊猫时装	主角	Sz_dali_001_xmt	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
352		逍遥_熊猫时装	主角	Sz_xiaoyao_001_xmt	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
353		雁门关副本-少林	主角	Zy_shaolin_001_brt	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
354		雁门关副本-天山	主角	Zy_tianshan_001_xyt	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
355		雁门关副本-大理	主角	Zy_dali_001_hlt	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
356		雁门关副本-逍遥	主角	Zy_xiaoyao_001_llt	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
357	闪电貂	闪电貂	伙伴	Npc_001_shandiandiao_001	Animation/NPC/Animal/Mouse	head-animal	DuanYu	1	0.9	20	20	20	3
358	VIP宝宝	VIP宝宝	伙伴	Npc_001_xiaodiao_001	Animation/NPC/Animal/Bird	head-animal	DuanYu	1	0.5	20	20	20	3
359	珍珑棋局副本	琉璃棋子		fb_banghui_qizi04		head-animal		1	2	25	26	27	-1
360	珍珑棋局副本	墨晶棋子		fb_banghui_qizi05		head-animal		1	2	25	26	27	-1
361	小镜湖野怪	宵小	野怪	Npc_001_yunzhonghe_001	Animation/NPC/Man/MatureMan/One_Sword	head-role	heiyiren	2	1	14	15	16	1
362	雁门关末尾剧情-黑衣人瘦	雁门关末尾剧情-黑衣人瘦	副本怪	Npc_Yanmenguan_matureman	Animation/NPC/Man/MatureMan/No_Weapon	head-role	heiyiren	1.5	1.2	14	15	16	1
363	雁门关末尾剧情-黑衣人胖	雁门关末尾剧情-黑衣人胖	副本怪	Npc_Yanmenguan_Strong	Animation/NPC/Man/Strong/No_Weapon	head-role	heiyiren	1.5	1.2	14	15	16	1
364		橙少林100+上衣	主角	Zy_shaolin_002_90t_erhai	Animation/Player/Shaolin_001	head-shaolin	head-shaolin	2.2	1	17	17	17	1
365		橙天山100+上衣	主角	Zy_tianshan_002_90t_erhai	Animation/Player/Tianshan_001	TianShanHead	TianShanHead	2	1	18	18	18	1
366		橙大理100+上衣	主角	Zy_dali_002_90t_erhai	Animation/Player/Dali_001	DaLiHead	DaLiHead	2	1	11	11	11	1
367		橙逍遥100+上衣	主角	Zy_xiaoyao_002_90t_erhai	Animation/Player/Xiaoyao_001	head-xiaoyao	head-xiaoyao	1.7	1	19	19	19	1
373	火狐	火狐	伙伴	Npc_001_huohu_001	Animation/NPC/Animal/Fox	head-role	zhongling	1.1	1	12	13	13	1
374	凤凰	凤凰	伙伴	Npc_001_fenghuang_001	Animation/NPC/Animal/Bird	head-role	zhongling	0.5	1	12	13	13	1
