Id	Desc	Money	BindYuanBao	Exp	ToolID1	ToolNum1	ToolID2	ToolNum2	ProfessionItemID1	ProfessionNum1	ProfessionItemID2	ProfessionNum2	ProfessionItemID3	ProfessionNum3	ProfessionItemID4	ProfessionNum4	ChoosedItemNum	ItemID1	ItemNum1	ItemID2	ItemNum2	ItemID3	ItemNum3
203	【主】疯癫55	0	0	164742	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
204	【主】喝酒56	0	0	164742	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
205	【主】帮派57	0	0	164742	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
206	【主】入帮58	0	0	164742	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
207	【主】日常59	0	0	164742	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
208	【主】人质	0	0	10080	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	0	-1	0	-1	0	-1	0
209	【主】棋局	0	0	21120	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	0	-1	0	-1	0	-1	0
210	【主】渐进	0	0	35964	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	0	-1	0	-1	0	-1	0
211	【抽奖】每日抽奖	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
212	【美人】亲密	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
213	【伙伴】吸收	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
214	【主】宝物	0	0	122006	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
215	【主】玄铁	0	0	122006	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
216	【主】古墓	0	0	122006	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
217	【主】合成	0	0	122006	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
218	【主】精进	1100	0	339067	24	2	56521	1	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
219	【主】打星	0	0	122006	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
220	【主】而立	0	0	621481	56534	1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
221	【主】魔头	0	0	122006	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
222	【主】立德	0	0	954193	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
223	【主】锄奸	0	0	122006	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
224	【主】立言	0	0	1486968	4500	1	56532	1	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
225	【主】侠客	0	0	122006	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
226	【主】立身	0	0	2321593	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
227	【主】不惑	0	0	3918692	-1	0	-1	0	38607	1	39607	1	41607	1	40607	1	0	-1	0	-1	0	-1	0
228	【主】天命	0	0	6028870	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
229	【主】盟主	0	0	122006	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
230	【主】耳顺	0	0	9133698	28	10	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
231	【主】从心	0	0	13576268	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
232	【主】所欲	0	200	19922333	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
233	【主】棋心	0	0	122006	-1	0	-1	0	42304	0	43304	0	45304	0	44304	0	0	-1	0	-1	0	-1	0
234	【主】棋艺	0	0	122006	-1	0	-1	0	42305	0	43305	0	45305	0	44305	0	0	-1	0	-1	0	-1	0
235	【主】棋魂	0	0	122006	-1	0	-1	0	42306	0	43306	0	45306	0	44306	0	0	-1	0	-1	0	-1	0
236	【主】耕耘	0	0	164742	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
237	【主】丹药	0	0	124765	4024	20	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
238	【光棍节】表白	0	0	68688	104	5	59130	1	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
239	【感恩节】仪式	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
240	【感恩节】礼拜	0	0	68688	59141	1	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
241	【主】前行	0	0	122006	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
242	【主】坚持	0	0	122006	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
